,AR4040,AR4041,AR4042,AR4043,AR4044,AR4045,AR4046,AR4047,AR4049,AR4120,AR4121,AR4122,AR4123,AR4124,AR4125,AR4127,AR4129,AR4154,AR4155,AR4157,AR4158,AR4160,AR4161,AR4162,AR4163,AR4164,MKAN003341,MKAN003342,MKAN003343,MKAN003344,MKAN003345,MKAN003347,MKAN003348,MKAN003432,MKAN003433,MKAN003434,MKAN003436,MKAN003437,MKAN003479,MKAN003480,MKAN003481,MKAN003486,MKAN003487,MKAN003689,MKAN003690,MKAN003691,MKAN003692,MKAN003694,MKAN003695,MKAN003696,MKAN003755,MKAN003756,MKAN003757,MKAN003758,MKAN003759,MKAN003760,MKAN003761,MKAN003762,MKAN003789,MKAN003790,MKAN003791,MKAN003792,MKAN003793,MKAN003794,MKAN003795,MKAN003796,MKAN003963
multidrug,131.3665878,14.85486794,33.03600925,73.75874568,83.48309028,23.07816575,59.90355528,178.8251824,14.23609134,34.55007169,75.9508626,52.07519658,45.12839027,32.01793004,107.3751948,26.20407735,48.1831925,12.74185636,59.3930035,37.81890794,7.673949244,139.2962565,10.35747084,45.9150877,125.5277873,21.51000215,313.5064269,163.5623888,56.67006687,320.8292201,428.3785489,77.99703611,105.0309841,61.47603971,244.3560539,39.99120194,29.51593861,5.192943828,28.40263576,54.32519059,19.8019802,219.8245068,70.39477389,0,21.04022892,43.53315049,193.956321,0,188.1860951,43.28723243,18.09152503,19.72153197,111.5931314,211.2337399,250.8214402,188.3300853,183.8162887,273.8282433,149.0757305,276.2208154,250.3779744,324.6255002,216.6736767,189.3715233,41.81738349,193.4122119,66.55278745
sum,150.1332432,14.85486794,49.55401388,158.054455,87.87693714,34.61724862,74.8794441,239.4980122,14.23609134,86.37517923,92.82883207,52.07519658,56.41048784,64.03586008,127.7394559,26.20407735,66.25188968,12.74185636,72.59144872,45.38268953,23.02184773,165.9034066,17.2624514,45.9150877,155.958766,43.02000431,342.0070112,163.5623888,56.67006687,370.1875617,481.9258675,103.9960482,140.0413122,76.84504964,291.869731,39.99120194,29.51593861,10.38588766,28.40263576,54.32519059,19.8019802,274.7806335,70.39477389,25.58329922,21.04022892,87.06630099,243.8308035,29.2997363,233.490155,64.93084865,27.13728754,19.72153197,125.5422728,248.6865307,263.3625122,204.7066145,223.2054934,302.8706327,149.0757305,313.5207065,317.7874291,360.0391911,254.9102079,213.0429637,62.72607523,252.2767981,510.2380372
aminoglycoside,0,0,0,0,0,0,0,3.193306829,0,0,2.812994911,0,0,0,1.851296463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.159354449,0,0,0,0,0,0,0,0,0,0,0,1.49811163,0,0,0,0,0,0,0,0,0,0,0,8.409226603,0
bacitracin,0,0,0,10.53696367,0,0,0,3.193306829,0,0,0,0,0,0,5.553889389,0,0,0,0,7.563781588,0,7.825632389,3.452490281,0,7.607744684,0,28.50058426,0,0,0,15.29923389,0,35.01032805,0,6.787668164,0,0,5.192943828,0,0,0,0,0,0,0,0,11.08321834,29.2997363,3.484927688,0,0,0,0,4.494334891,6.270536005,0,0,8.297825555,0,5.040525828,0,11.80456364,0,0,0,0,0
beta-lactam,0,0,0,0,0,11.53908287,14.97588882,6.386613658,0,0,2.812994911,0,0,0,1.851296463,0,0,0,0,0,0,3.130252956,0,0,0,10.75500108,0,0,0,49.35834156,0,0,0,0,6.787668164,0,0,0,0,0,0,27.47806335,0,0,0,0,0,0,3.484927688,0,0,0,13.94914143,4.494334891,0,0,39.38920473,4.148912777,0,5.040525828,9.629922094,11.80456364,0,23.67144041,0,8.409226603,443.6852497
chloramphenicol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fosmidomycin,0,0,0,10.53696367,0,0,0,12.77322732,0,0,0,0,0,32.01793004,7.405185852,0,12.04579812,0,0,0,0,3.130252956,0,0,15.21548937,0,0,0,0,0,19.12404236,0,0,0,33.93834082,0,0,0,0,0,0,0,0,0,0,8.706630099,5.541609172,0,17.42463844,0,0,0,0,7.490558151,6.270536005,16.37652916,0,4.148912777,0,5.040525828,38.51968838,11.80456364,12.74551039,0,20.90869174,42.04613302,0
macrolide-lincosamide-streptogramin,18.76665541,0,16.51800463,42.14785467,4.393846857,0,0,9.579920487,0,34.55007169,2.812994911,0,11.28209757,0,1.851296463,0,0,0,13.19844522,0,0,0,0,0,7.607744684,0,0,0,0,0,15.29923389,0,0,0,0,0,0,0,0,0,0,9.159354449,0,25.58329922,0,8.706630099,11.08321834,0,6.969855376,21.64361622,0,0,0,11.98489304,0,0,0,8.297825555,0,14.11347232,19.25984419,0,0,0,0,0,0
polymyxin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quinolone,0,0,0,0,0,0,0,0,0,0,2.812994911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.377500538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.541609172,0,0,0,0,0,0,1.49811163,0,0,0,0,0,1.008105166,0,0,0,0,0,0,0
sulfonamide,0,0,0,0,0,0,0,0,0,17.27503585,0,0,0,0,0,0,0,0,0,0,0,3.130252956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.159354449,0,0,0,0,0,0,0,0,9.045762513,0,0,0,0,0,0,0,0,2.016210331,0,0,0,0,0,0,0
tetracycline,0,0,0,0,0,0,0,6.386613658,0,0,0,0,0,0,1.851296463,0,6.022899062,0,0,0,15.34789849,6.260505911,3.452490281,0,0,0,0,0,0,0,0,25.99901204,0,0,0,0,0,0,0,0,0,0,0,0,0,8.706630099,0,0,6.969855376,0,0,0,0,4.494334891,0,0,0,4.148912777,0,1.008105166,0,0,25.49102079,0,0,0,0
trimethoprim,0,0,0,0,0,0,0,3.193306829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.541609172,0,0,0,0,0,0,1.49811163,0,0,0,0,0,1.008105166,0,0,0,0,0,0,0
unclassified,0,0,0,21.07392734,0,0,0,3.193306829,0,0,2.812994911,0,0,0,0,0,0,0,0,0,0,1.565126478,0,0,0,5.377500538,0,0,0,0,3.824808473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.08321834,0,3.484927688,0,0,0,0,0,0,0,0,0,0,3.024315497,0,0,0,0,0,0,0
vancomycin,0,0,0,0,0,0,0,12.77322732,0,0,2.812994911,0,0,0,0,0,0,0,0,0,0,1.565126478,0,0,0,0,0,0,0,0,0,0,0,15.36900993,0,0,0,0,0,0,0,0,0,0,0,17.4132602,0,0,3.484927688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0